scenario,file_id,view,test_id,label,status,passed,detail,source_path
fork,1,normal,T1a,not_found profile available:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\1
fork,1,normal,T1b,not_found default formatting:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\1
fork,1,normal,T1c,not_found data corruption:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\1
fork,2,normal,T2a,completed:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\2
fork,2,normal,T2b,running not stalled:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\2
fork,2,normal,T2c,running stalled:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\2
fork,2,normal,T2d,failed retryable:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\2
fork,2,normal,T2e,failed non retryable:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\2
fork,3,normal,T3a,join waits for all:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\3
fork,3,normal,T3b,default formatting with null profile:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\3
fork,3,normal,T3c,store retry exhausted:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\3
loop,1,normal,T1a,success 3 valid rows:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\loop\ai_code\gpt\functional_tests\1
loop,1,normal,T1b,success 1 valid row:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\loop\ai_code\gpt\functional_tests\1
loop,1,normal,T1c,idempotent repeat:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\loop\ai_code\gpt\functional_tests\1
loop,2,normal,T2a,mixed content:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\loop\ai_code\gpt\functional_tests\2
loop,2,normal,T2b,all invalid:,FAIL,0,"should persist 0 contacts. Expected=0, actual=1",C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\loop\ai_code\gpt\functional_tests\2
loop,2,normal,T2c,duplicate in batch:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\loop\ai_code\gpt\functional_tests\2
loop,3,normal,T3a,empty CSV:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\loop\ai_code\gpt\functional_tests\3
loop,3,normal,T3b,storage unavailable:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\loop\ai_code\gpt\functional_tests\3
simple,1,normal,T1a,,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\simple\ai_code\gpt\functional_tests\1
simple,1,normal,T1b,,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\simple\ai_code\gpt\functional_tests\1
simple,2,normal,T2a,,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\simple\ai_code\gpt\functional_tests\2
simple,2,normal,T2b,,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\simple\ai_code\gpt\functional_tests\2
simple,2,normal,T2c,,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\simple\ai_code\gpt\functional_tests\2
simple,3,normal,T3a,,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\simple\ai_code\gpt\functional_tests\3
simple,3,normal,T3b,,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\simple\ai_code\gpt\functional_tests\3
simple,3,normal,T3c,,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\simple\ai_code\gpt\functional_tests\3
trycatch,1,normal,T1a,okFilterDisposableEmailDomains success path:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\trycatch\ai_code\gpt\functional_tests\1
trycatch,1,normal,T1b,okCreateUserAccount after email retry:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\trycatch\ai_code\gpt\functional_tests\1
trycatch,2,normal,T2a,timeout on CreateUserAccount branch:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\trycatch\ai_code\gpt\functional_tests\2
trycatch,2,normal,T2b,timeout on SendActivationEmail branch:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\trycatch\ai_code\gpt\functional_tests\2
trycatch,3,normal,T3a,ConflictException before decision:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\trycatch\ai_code\gpt\functional_tests\3
trycatch,3,normal,T3b,DisposableEmailDetected before decision:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\trycatch\ai_code\gpt\functional_tests\3
trycatch,3,normal,T3c,ValidationException before decision:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\trycatch\ai_code\gpt\functional_tests\3
