scenario,file_id,view,test_id,label,status,passed,detail,source_path
fork,1,strict_final,T1a,not_found profile available:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\1
fork,1,strict_final,T1b,not_found default formatting:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\1
fork,1,strict_final,T1c,not_found data corruption:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\1
fork,2,strict_final,T2a,completed:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\2
fork,2,strict_final,T2b,running not stalled:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\2
fork,2,strict_final,T2c,running stalled:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\2
fork,2,strict_final,T2d,failed retryable:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\2
fork,2,strict_final,T2e,failed non retryable:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\2
fork,3,strict_final,T3a,join waits for all:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\3
fork,3,strict_final,T3b,default formatting with null profile:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\3
fork,3,strict_final,T3c,store retry exhausted:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\fork\ai_code\gpt\functional_tests\3
loop,1,strict_final,T1a,success 3 valid rows:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\loop\ai_code\gpt\functional_tests\1
loop,1,strict_final,T1b,success 1 valid row:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\loop\ai_code\gpt\functional_tests\1
loop,1,strict_final,T1c,idempotent repeat:,PASS,1,,C:\git_projects\new\partial-automate-code-generation\final_tests\artrifacts\loop\ai_code\gpt\functional_tests\1
